customer_id;customer_name;city_id
1;Adinda Kusuma;1
2;Adinda Nugraheni;1
3;Adinda Puspitasari;1
4;Adinda Setyaningrum;1
5;Adit Cahyono;1
6;Adit Firmansyah;1
7;Adit Setiaji;1
8;Adit Wibowo;1
9;Adit Wijaya;1
10;Aditya Firmansyah;1
11;Aditya Haryanto;1
12;Aditya Utomo;1
13;Agus Hakim;1
14;Agus Irawan;1
15;Agus Maulana;1
16;Agus Pangestu;1
17;Agus Prakoso;1
18;Agus Wijaya;1
19;Agus Yulianto;1
20;Ahmad Fauzan;1
21;Ahmad Hidayat;1
22;Ahmad Kusuma;1
23;Ahmad Pangestu;1
24;Ahmad Permana;1
25;Ahmad Suryanto;1
26;Aisyah Anjani;1
27;Aisyah Damayanti;1
28;Aisyah Kurniasari;1
29;Aisyah Mardiana;1
30;Aisyah Pangestuti;1
31;Aisyah Permatasari;1
32;Aldi Hakim;1
33;Aldi Hermawan;1
34;Aldi Kusnadi;1
35;Aldi Kusuma;1
36;Aldi Maulana;1
37;Aldi Nugroho;1
38;Aldi Suhendra;1
39;Aldi Wibowo;1
40;Amelia Handayani;2
41;Amelia Safitri;2
42;Amelia Susanti;2
43;Andi Gunawan;2
44;Andi Iskandar;2
45;Andi Kurnia;2
46;Andi Kusnadi;2
47;Andi Pratama;2
48;Andi Saputra;2
49;Andi Suharto;2
50;Anisa Maulida;2
51;Anisa Sari;2
52;Anisa Suryani;2
53;Anjani Handayani;2
54;Anjani Maharani;2
55;Anjani Mardiana;2
56;Anjani Nuraini;2
57;Anjani Oktavia;2
58;Anjani Pratiwi;2
59;Anjani Sari;2
60;Anjani Wati;2
61;Ari Haryanto;2
62;Ari Putra;2
63;Arif Hakim;2
64;Arif Kusnadi;2
65;Aulia Fitriani;2
66;Aulia Kurniasari;2
67;Aulia Kusuma;2
68;Aulia Lestari;2
69;Aulia Maharani;2
70;Aulia Pratiwi;2
71;Ayu Andriani;2
72;Ayu Kusuma;2
73;Ayu Kusumawati;2
74;Ayu Mardiana;2
75;Ayu Permata;2
76;Ayu Pratiwi;2
77;Ayu Safitri;2
78;Bagas Maulana;2
79;Bagas Pangestu;2
80;Bagas Purnama;2
81;Bagas Suharto;2
82;Bayu Permana;3
83;Bayu Pranoto;3
84;Bayu Putra;3
85;Bayu Siregar;3
86;Bella Astuti;3
87;Bella Aulia;3
88;Bella Ningsih;3
89;Bella Salsabila;3
90;Bima Cahyono;3
91;Bima Gunawan;3
92;Bima Kurnia;3
93;Bima Kusuma;3
94;Bima Siregar;3
95;Bima Syahputra;3
96;Budi Cahyono;3
97;Budi Kusnadi;3
98;Budi Setiaji;3
99;Budi Setiawan;3
100;Budi Suryadi;3
101;Budi Yulianto;3
102;Cindy Anggraini;3
103;Cindy Ningsih;3
104;Cindy Nuraini;3
105;Cindy Salsabila;3
106;Citra Fauziah;3
107;Citra Hapsari;3
108;Citra Nuraini;3
109;Citra Rosita;3
110;Citra Sari;3
111;Citra Suryani;3
112;Citra Yuliani;3
113;Daffa Fauzan;3
114;Daffa Hidayat;3
115;Daffa Iskandar;3
116;Daffa Prakoso;3
117;Dani Haryanto;3
118;Dani Kusuma;3
119;Dani Maulana;3
120;Dani Pangestu;3
121;Dani Permadi;3
122;Dani Putra;3
123;Dani Siregar;3
124;Dani Suhendra;3
125;Dani Suryanto;3
126;Dani Susanto;3
127;Dede Cahyono;3
128;Dede Setiawan;3
129;Denny Kurniawan;3
130;Denny Maulana;3
131;Denny Santoso;3
132;Dewi Maulida;3
133;Dewi Oktavia;3
134;Dewi Rahma;4
135;Diah Kurniasari;4
136;Diah Maharani;4
137;Diah Safitri;4
138;Dimas Permadi;4
139;Dimas Syahputra;4
140;Dinda Aulia;4
141;Dinda Mardiana;4
142;Dinda Maulida;4
143;Dinda Nuraini;4
144;Dinda Rahmawati;4
145;Dinda Safitri;4
146;Dita Rosita;4
147;Dita Suryani;4
148;Doni Aditya;4
149;Doni Iskandar;4
150;Doni Pranoto;4
151;Doni Purnama;4
152;Doni Setiawan;4
153;Doni Siregar;4
154;Eka Lukita;4
155;Eka Maulida;4
156;Eka Oktaviani;4
157;Eka Rahayu;4
158;Eka Wahyuni;4
159;Eka Wati;4
160;Eka Yuliani;4
161;Eko Firmansyah;4
162;Eko Irawan;4
163;Eko Iskandar;4
164;Eko Saputra;4
165;Elsa Astuti;4
166;Elsa Oktavia;4
167;Elsa Rahma;4
168;Elsa Sari;4
169;Elsa Setyaningrum;4
170;Elsa Wulandari;4
171;Fajar Ramadhan;4
172;Fajar Siregar;4
173;Fajar Yulianto;4
174;Fani Ningsih;4
175;Farhan Fauzan;4
176;Farhan Hakim;4
177;Farhan Irawan;4
178;Farhan Nugroho;4
179;Farhan Ramadhan;4
180;Farhan Utomo;4
181;Fauzan Kurniawan;4
182;Fauzan Pangestu;4
183;Fauzan Permana;4
184;Fauzan Susanto;4
185;Fauzan Wibowo;4
186;Fikri Fauzi;4
187;Fikri Haryanto;4
188;Fikri Herlambang;4
189;Fikri Maulana;4
190;Fikri Wicaksono;4
191;Fitria Damayanti;4
192;Fitria Hidayati;4
193;Fitria Kurniasari;4
194;Fitria Prameswari;4
195;Fitria Setyaningrum;4
196;Fitria Susanti;4
197;Galih Hakim;4
198;Galih Hidayat;4
199;Galih Santoso;4
200;Galih Setiaji;4
201;Galih Wicaksono;4
202;Gilang Hidayat;4
203;Gilang Irawan;5
204;Gilang Kurniawan;5
205;Gilang Pangestu;5
206;Gilang Pratama;5
207;Gilang Utomo;5
208;Hadi Irawan;5
209;Hadi Prakoso;5
210;Hadi Siregar;5
211;Hadi Syahputra;5
212;Hadi Utomo;5
213;Hendra Fauzan;5
214;Hendra Kusuma;5
215;Hendra Suryadi;5
216;Hendra Susanto;5
217;Hendra Wibowo;5
218;Ilham Herlambang;5
219;Ilham Kurniawan;5
220;Ilham Nugraha;5
221;Ilham Setiaji;5
222;Ilham Wijaya;5
223;Indah Andriani;5
224;Indah Aprilia;5
225;Indah Rahayu;5
226;Indah Rahmawati;5
227;Intan Rosita;5
228;Intan Sari;5
229;Intan Setyaningrum;5
230;Ira Hapsari;5
231;Ira Kusumawati;5
232;Ira Suryani;5
233;Irene Lukita;5
234;Irene Mardiana;5
235;Irene Nugraheni;5
236;Irene Oktavia;5
237;Irene Prameswari;5
238;Irene Rahma;5
239;Irfan Gunawan;5
240;Irfan Mulyono;5
241;Irfan Pangestu;5
242;Irfan Permadi;5
243;Irfan Yulianto;5
244;Joko Haryanto;5
245;Joko Mahendra;5
246;Joko Pangestu;5
247;Joko Permana;5
248;Joko Pratama;5
249;Joko Rahman;5
250;Joko Wicaksono;5
251;Kartika Cahyani;5
252;Kartika Fitriani;5
253;Kartika Oktavia;5
254;Kartika Pratiwi;5
255;Kartika Yuliani;5
256;Kevin Maulana;5
257;Kevin Suharto;5
258;Kevin Susanto;5
259;Kevin Syahputra;5
260;Laras Maulida;5
261;Laras Nugraheni;5
262;Laras Permata;5
263;Lestari Pangestuti;5
264;Lina Amelia;5
265;Lina Astuti;5
266;Lina Hidayati;5
267;Lina Lestari;5
268;Lina Setyaningrum;5
269;Maulana Fauzi;5
270;Maulana Gunawan;5
271;Maulana Hakim;6
272;Maulana Purnama;6
273;Maulana Putra;6
274;Maulana Santoso;6
275;Maulana Siregar;6
276;Maya Hapsari;6
277;Maya Hidayati;6
278;Maya Lestari;6
279;Maya Lukita;6
280;Maya Wahyuni;6
281;Melati Andriani;6
282;Melati Anjani;6
283;Melati Astuti;6
284;Melati Aulia;6
285;Melati Fitriani;6
286;Melati Ningsih;6
287;Melati Pangestuti;6
288;Melati Safitri;6
289;Nadia Kusumawati;6
290;Nadia Lestari;6
291;Nadia Nugraheni;6
292;Nadia Suryani;6
293;Nadya Andriani;6
294;Nadya Damayanti;6
295;Nadya Hidayati;6
296;Nadya Lukita;6
297;Nadya Rosita;6
298;Nadya Sari;7
299;Nanda Pratiwi;7
300;Nanda Rahma;7
301;Nanda Suryani;7
302;Nia Cahyani;7
303;Nia Salsabila;7
304;Niken Cahyani;7
305;Niken Maharani;7
306;Niken Oktavia;7
307;Niken Permatasari;7
308;Niken Sari;7
309;Niken Wahyuni;7
310;Nurul Oktavia;7
311;Nurul Prameswari;7
312;Putri Anjani;7
313;Putri Fitriani;7
314;Putri Kurniasari;7
315;Putri Oktavia;7
316;Putri Permatasari;7
317;Putri Sari;7
318;Putri Suryani;7
319;Rafi Firmansyah;8
320;Rafi Gunawan;8
321;Rafi Hakim;8
322;Rafiq Herlambang;8
323;Rafiq Maulana;8
324;Rafiq Prakoso;8
325;Rafiq Santoso;8
326;Rafiq Suharto;8
327;Raka Cahyono;8
328;Raka Herlambang;8
329;Raka Kurnia;8
330;Rangga Fauzi;8
331;Rangga Iskandar;8
332;Rangga Maulana;8
333;Rangga Prakoso;8
334;Rangga Suhendra;8
335;Rangga Suryanto;8
336;Rangga Wibowo;8
337;Rani Cahyani;8
